intersection_cluster,lat,lon,accident_count
0,45.40979409999999,-75.6784064,16
1,45.4296665,-75.7101515,0
2,45.42597756666666,-75.71150775833333,0
3,45.4284577,-75.710366,0
4,45.43088980000001,-75.7099325,0
5,45.42052710000001,-75.6788663,32
6,45.42206899999999,-75.6801762,34
8,45.4253309,-75.6829123,88
9,45.42454860000001,-75.6847465,41
10,45.41655409999999,-75.6892401,25
11,45.4222455,-75.6968862,33
12,45.4094923,-75.6920736,122
13,45.4318993,-75.68842715,159
14,45.4147181,-75.6957999,62
15,45.42748849999999,-75.6887463,180
16,45.4170315,-75.7006849,51
18,45.4327644,-75.6944465,12
21,45.4260748,-75.6899572,154
22,45.42357960000001,-75.6956698,64
23,45.4114673,-75.7057522,88
24,45.41765500000001,-75.7012096,45
25,45.416212300000005,-75.69433,63
27,45.41754419999999,-75.695498,62
28,45.41957409999999,-75.6945759,75
29,45.4232287,-75.69480745,64
30,45.41569980000001,-75.708224,78
31,45.408801,-75.69377560000001,161
32,45.41572220000001,-75.6912326,38
33,45.42090009999999,-75.7039606,34
34,45.43411299999999,-75.6955857,12
35,45.4254851,-75.6894464,110
36,45.427904100000006,-75.6903157,65
37,45.421406,-75.6988338,41
38,45.42116190000001,-75.7013284,47
39,45.41814699999999,-75.7044218,73
40,45.4311868,-75.6900926,78
41,45.4185324,-75.6990653,52
42,45.4149381,-75.7077703,83
43,45.42672429999999,-75.6882856,198
44,45.42017909999999,-75.695101,67
45,45.4240269,-75.6965359,45
46,45.4122761,-75.7038581,32
47,45.4124086,-75.6910316,41
48,45.422849,-75.6974019,33
49,45.4114651,-75.7117413,10
50,45.4149575,-75.7017497,24
51,45.41982404999999,-75.6920002,38
52,45.417018,-75.6923573,55
53,45.43024830000001,-75.6922767,111
54,45.4285597,-75.6969696,80
55,45.41617230000001,-75.70277760000002,53
56,45.4193702,-75.6970684,46
57,45.4187643,-75.7049648,49
58,45.41636710000001,-75.691792,44
60,45.410704200000005,-75.7075189,28
61,45.42701610000001,-75.6956377,19
62,45.41902660000001,-75.7023826,76
63,45.4301171,-75.6945871,47
64,45.4185216,-75.6909416,67
65,45.4287163,-75.6880815,91
66,45.414475,-75.6985518,66
67,45.42644320000001,-75.6891033,260
68,45.4116538,-75.6989751,11
69,45.4146479,-75.6876049,42
70,45.4292748,-75.6965578,85
71,45.43251245,-75.6889524,157
72,45.41843479999999,-75.7018846,60
73,45.4216383,-75.6963601,48
74,45.4090416,-75.7119968,25
75,45.41316969999999,-75.69745100000002,37
76,45.42055719999998,-75.7007992,47
77,45.41293460000001,-75.7126442,94
78,45.4094129,-75.694272,154
79,45.418357,-75.6935196,44
80,45.423422900000006,-75.6877346,190
81,45.4193562,-75.6997545,61
82,45.417476399999984,-75.7059895,56
83,45.42200400000001,-75.6993525,53
84,45.4113643,-75.68744755,170
85,45.41144250000001,-75.690194,28
86,45.42710460000001,-75.6896551,145
87,45.4094897,-75.71055590000002,54
88,45.415369,-75.696364,65
89,45.41491639999999,-75.6932062,50
90,45.4180982,-75.7065247,49
91,45.42801669999999,-75.68753720000001,103
92,45.4161564,-75.7048224,44
93,45.418756300000005,-75.696536,63
95,45.4171952,-75.6897942,48
97,45.4103809,-75.6978887,31
98,45.4143215,-75.7074086,36
99,45.4199413,-75.7002582,71
100,45.43086540000001,-75.6928213,83
101,45.4191891,-75.6915052,52
102,45.41231169999999,-75.6881439,13
103,45.41125009999999,-75.6958069,52
104,45.41785579999999,-75.6903645,62
105,45.4210503,-75.6958572,44
106,45.41964839999999,-75.702913,57
107,45.428667,-75.6960333,98
108,45.41216060000001,-75.6936022,93
110,45.4226453,-75.6999086,37
111,45.4234948,-75.6979537,25
112,45.4136096,-75.700632,37
113,45.413824,-75.6895885,48
114,45.42948739999999,-75.6940632,59
115,45.413192,-75.7067548,22
116,45.40857479999999,-75.6915501,105
117,45.42982365,-75.68899825,55
118,45.4202543,-75.7034146,53
119,45.4140626,-75.6952438,38
120,45.4288541,-75.6911182,81
121,45.42079659999999,-75.6983053,63
122,45.41562570000001,-75.6884469,25
123,45.4296131,-75.6917394,114
124,45.4179236,-75.6985455,73
125,45.41084359999999,-75.69284,53
126,45.4168979,-75.7054685,55
128,45.4218073,-75.7018936,35
129,45.41033939999999,-75.7086887,43
130,45.4163461,-75.7085954,68
131,45.410599100000006,-75.6894627,110
132,45.4175591,-75.703922,57
133,45.4167927,-75.7032886,70
134,45.4272899,-75.6948764,41
135,45.42020490000001,-75.6977922,50
136,45.4090143,-75.7011634,30
137,45.4318195,-75.6905947,67
139,45.4130116,-75.6915546,51
140,45.42421129999999,-75.6924121,56
142,45.416700100000014,-75.6975099,47
143,45.4263086,-75.6940521,35
144,45.4097361,-75.6994303,19
145,45.40838240000001,-75.7142058,32
146,45.4242114,-75.6963024,47
147,45.4268931,-75.6842336,104
148,45.42876575,-75.68575179999999,175
149,45.4294924,-75.6839973,46
150,45.42736289999999,-75.67802370000001,16
152,45.43078640000001,-75.680879,30
153,45.4314381,-75.67932170000002,26
154,45.42605879999999,-75.6811426,22
155,45.4265024,-75.6800805,32
156,45.4301457,-75.6824384,29
157,45.4273482,-75.6870332,86
158,45.4262735,-75.6837078,51
