intersection_cluster,lat,lon,distance_group,accident_count
269,45.4028946,-75.7082797,100–150m,0
270,45.4033359,-75.7250731,150–200m,0
271,45.40198449999999,-75.7298569,100–150m,0
272,45.4024434,-75.700516,150–200m,0
273,45.41316969999999,-75.69745100000002,150–200m,3
274,45.42055719999998,-75.7007992,50–100m,0
275,45.41293459999998,-75.7126442,150–200m,0
276,45.4094129,-75.694272,50–100m,25
277,45.41835699999999,-75.6935196,150–200m,0
278,45.42342289999999,-75.6877346,50–100m,0
280,45.4059662,-75.7025599,150–200m,0
282,45.40788909999998,-75.7036745,150–200m,0
283,45.4193562,-75.6997545,50–100m,0
284,45.41747639999998,-75.7059895,50–100m,0
285,45.422004,-75.6993525,50–100m,0
286,45.41136429999999,-75.68744755,100–150m,0
287,45.4073318,-75.6908363,100–150m,0
288,45.4114425,-75.690194,100–150m,0
289,45.42710459999999,-75.6896551,50–100m,0
290,45.4079391,-75.6958388,150–200m,0
291,45.40948969999999,-75.71055590000002,50–100m,0
293,45.41536899999999,-75.696364,50–100m,0
294,45.41491639999999,-75.6932062,150–200m,0
295,45.4043915,-75.6891698,50–100m,8
296,45.4180982,-75.7065247,50–100m,0
298,45.42801669999999,-75.68753720000001,50–100m,0
300,45.41615639999999,-75.7048224,50–100m,0
302,45.4187563,-75.696536,50–100m,0
303,45.4016571,-75.6875922,150–200m,0
305,45.41719519999999,-75.6897942,50–100m,0
306,45.404552,-75.7238948,150–200m,0
308,45.41038089999998,-75.6978887,100–150m,0
309,45.40374799999999,-75.7088,100–150m,0
310,45.3969327,-75.72679215,50–100m,0
311,45.41432149999999,-75.7074086,50–100m,0
312,45.41994129999999,-75.7002582,50–100m,0
315,45.43086539999998,-75.6928213,50–100m,0
316,45.4191891,-75.6915052,50–100m,0
317,45.41231169999998,-75.6881439,100–150m,0
318,45.41125009999998,-75.6958069,150–200m,0
319,45.417855799999984,-75.6903645,50–100m,0
321,45.4006239,-75.7095214,150–200m,0
322,45.42105029999999,-75.6958572,100–150m,15
323,45.41964839999998,-75.702913,50–100m,0
324,45.428667,-75.6960333,50–100m,0
325,45.41216059999999,-75.6936022,150–200m,0
326,45.40077169999999,-75.7291265,100–150m,0
327,45.399742799999984,-75.7319539,150–200m,0
329,45.42264529999999,-75.6999086,150–200m,0
331,45.42349479999998,-75.6979537,150–200m,0
332,45.39930519999999,-75.708726,150–200m,0
333,45.4136096,-75.700632,150–200m,0
334,45.40584899999999,-75.7083748,100–150m,17
335,45.40532625,-75.7021985,100–150m,0
336,45.413824,-75.6895885,100–150m,0
337,45.404632,-75.7119389,150–200m,0
338,45.42948739999999,-75.6940632,50–100m,10
341,45.41319199999998,-75.7067548,100–150m,0
342,45.40857479999999,-75.6915501,100–150m,42
343,45.42982365,-75.68899825,150–200m,0
344,45.42025429999998,-75.7034146,50–100m,0
345,45.4140626,-75.6952438,50–100m,0
346,45.40711829999999,-75.7054505,150–200m,0
347,45.4288541,-75.6911182,50–100m,0
348,45.40196559999999,-75.7103335,150–200m,0
349,45.4207966,-75.6983053,50–100m,0
351,45.41562569999999,-75.6884469,100–150m,2
352,45.42961309999999,-75.6917394,50–100m,0
353,45.41792359999999,-75.6985455,50–100m,0
354,45.41084359999999,-75.69284,150–200m,0
356,45.40529029999998,-75.709726,100–150m,0
358,45.4168979,-75.7054685,50–100m,0
360,45.42180729999999,-75.7018936,150–200m,0
361,45.41033939999999,-75.7086887,100–150m,0
362,45.4163461,-75.7085954,50–100m,0
363,45.40825179999999,-75.7336158,150–200m,0
364,45.4105991,-75.6894627,100–150m,0
365,45.4030258,-75.6883894,150–200m,0
366,45.4064831,-75.72056610000001,150–200m,0
367,45.417559099999984,-75.703922,50–100m,0
369,45.4167927,-75.7032886,50–100m,0
370,45.40515039999999,-75.6895933,50–100m,10
371,45.42728989999999,-75.6948764,100–150m,0
372,45.4019339,-75.7076985,100–150m,0
373,45.4202049,-75.6977922,50–100m,0
374,45.4090143,-75.7011634,150–200m,0
375,45.4318195,-75.6905947,50–100m,0
377,45.4130116,-75.6915546,150–200m,0
378,45.42421129999999,-75.6924121,150–200m,0
380,45.41670009999999,-75.6975099,150–200m,0
381,45.42630859999999,-75.6940521,100–150m,0
382,45.4097361,-75.6994303,100–150m,0
383,45.4083824,-75.7142058,150–200m,0
384,45.42421139999998,-75.6963024,150–200m,0
390,45.41779899999998,-75.63374293333332,150–200m,0
392,45.41159925,-75.64548245,150–200m,0
394,45.41410289999999,-75.64340995,100–150m,0
397,45.4369107,-75.64447705,150–200m,0
398,45.43413664999999,-75.64290305,150–200m,0
400,45.43218304285714,-75.6482063,150–200m,0
