from_cluster,to_cluster,road_distance_m
482,505,84.16
482,509,116.57
494,1686,197.12
494,1687,186.37
507,510,104.64
507,1507,198.56
507,1508,187.73
507,1509,173.45
507,1510,162.35
513,680,160.97
513,682,136.14
521,1330,146.04
521,1331,156.07
526,1514,176.18
534,545,175.09
541,546,181.94
567,598,177.22
578,582,177.91
587,609,133.46
587,1061,107.35
592,1657,191.84
592,1658,180.81
606,1167,167.25
606,1168,185.41
611,1658,113.48
611,1659,103.48
611,1660,134.04
613,615,180.14
626,643,187.91
629,1560,190.34
631,647,164.34
634,648,170.0
636,1626,182.53
642,1259,112.29
642,1260,96.52
642,1261,81.37
642,1262,126.55
647,1623,169.66
647,1624,152.19
647,1626,183.75
657,1735,72.56
672,1423,180.21
672,1425,193.61
674,1430,192.99
675,1712,180.89
686,713,169.25
689,697,194.82
689,1318,172.38
690,703,120.47
690,705,131.28
701,713,157.37
702,712,194.24
708,831,135.83
716,1770,178.6
716,1792,160.14
720,1105,100.12
720,1106,75.79
721,1492,166.1
721,1493,129.68
721,1494,142.02
721,1495,154.1
722,1105,125.89
722,1106,101.56
735,1689,159.15
735,1690,144.02
735,1691,144.02
735,1692,159.15
740,741,183.67
740,1492,186.72
740,1493,199.46
740,1495,174.72
751,754,198.97
761,764,178.61
766,797,142.86
766,798,106.7
766,1362,106.7
766,1364,65.31
767,1328,195.23
770,772,146.12
770,1635,146.12
771,772,168.61
771,1635,168.61
772,1651,168.89
780,1457,65.43
782,1694,90.49
782,1695,90.49
782,1696,104.27
783,1447,185.04
790,1060,103.79
795,1364,184.38
795,1457,65.43
796,797,192.48
796,1363,169.21
796,1364,150.06
798,1363,79.82
798,1364,60.66
803,937,55.55
803,1124,180.3
803,1125,187.76
803,1126,158.34
807,1664,178.48
808,1250,52.97
811,980,186.71
827,1161,170.95
827,1746,170.95
827,1751,170.95
830,1273,199.52
855,1374,174.12
855,1375,192.19
859,1237,194.53
867,1747,119.65
867,1749,108.52
867,1750,119.65
899,900,50.27
909,1646,197.18
909,1647,170.03
909,1648,197.18
909,1649,170.03
913,914,57.99
914,1303,51.54
915,980,161.59
915,981,178.86
916,980,161.59
916,981,178.86
921,1175,196.87
935,1373,50.62
937,938,52.34
937,1126,174.73
938,1126,194.33
948,950,175.61
948,951,184.9
949,950,186.54
949,951,195.83
950,954,195.71
951,952,196.52
951,954,186.42
957,1428,195.1
958,1428,180.31
962,964,53.06
975,1478,165.86
976,1478,147.7
987,1023,177.62
987,1223,187.4
999,1000,51.38
