intersection_cluster,geometry,lat,lon,nearest_node
1,POINT (-75.6763673 45.4062718),45.4062718,-75.6763673,16266595
3,POINT (-75.6752976 45.40441580000001),45.40441580000001,-75.6752976,16267819
5,POINT (-75.6103614 45.44606109999999),45.44606109999999,-75.6103614,761420530
7,POINT (-75.7290303 45.3564274),45.3564274,-75.7290303,31273122
8,POINT (-75.73055675 45.34593830000001),45.34593830000001,-75.73055675,901795932
9,POINT (-75.78269205000001 45.331794200000004),45.331794200000004,-75.78269205000001,31277487
11,POINT (-75.771646 45.339634200000006),45.339634200000006,-75.771646,899961955
12,POINT (-75.76386515 45.35313495),45.35313495,-75.76386515,4659282126
14,POINT (-75.6103227 45.3941846),45.3941846,-75.6103227,145061679
15,POINT (-75.618625 45.3984284),45.3984284,-75.618625,145062964
16,POINT (-75.60390495000001 45.385880400000005),45.385880400000005,-75.60390495000001,146512230
17,POINT (-75.6360237 45.44467395),45.44467395,-75.6360237,760776161
18,POINT (-75.7579348 45.3196857),45.3196857,-75.7579348,899968198
19,POINT (-75.77977955 45.3268391),45.3268391,-75.77977955,166984263
20,POINT (-75.7585017 45.318264899999996),45.318264899999996,-75.7585017,899962021
22,POINT (-75.53122465000001 45.461380899999995),45.461380899999995,-75.53122465000001,686541426
23,POINT (-75.54667810000001 45.46999595),45.46999595,-75.54667810000001,305315518
24,POINT (-75.90109475 45.296840825),45.296840825,-75.90109475,3358955975
26,POINT (-75.6254483 45.366232999999994),45.366232999999994,-75.6254483,901848773
27,POINT (-75.6290538 45.369432399999994),45.369432399999994,-75.6290538,901832660
28,POINT (-75.93370665 45.35428255),45.35428255,-75.93370665,347937471
29,POINT (-75.8424249 45.3429469),45.3429469,-75.8424249,899860337
30,POINT (-75.927831625 45.294805175),45.294805175,-75.927831625,412650163
31,POINT (-75.7259203 45.27168423333333),45.27168423333333,-75.7259203,412650603
32,POINT (-75.520081725 45.477238475),45.477238475,-75.520081725,4612030540
34,POINT (-75.7023592 45.2863618),45.2863618,-75.7023592,412666488
35,POINT (-75.73084755 45.259326949999995),45.259326949999995,-75.73084755,416085519
36,POINT (-75.3354097 45.5247078),45.5247078,-75.3354097,428364241
37,POINT (-75.84641245 45.353583699999994),45.353583699999994,-75.84641245,899948128
38,POINT (-75.7549363 45.339104899999995),45.339104899999995,-75.7549363,899960040
41,POINT (-75.681517 45.4236868),45.4236868,-75.681517,476099847
44,POINT (-75.7213054 45.379616799999994),45.379616799999994,-75.7213054,477084749
45,POINT (-75.84344185 45.3456231),45.3456231,-75.84344185,11942944528
46,POINT (-75.6709872 45.39456179999999),45.39456179999999,-75.6709872,489851187
48,POINT (-75.67293169999999 45.39271629999999),45.39271629999999,-75.67293169999999,558685259
49,POINT (-75.51864645 45.481088549999996),45.481088549999996,-75.51864645,901429876
51,POINT (-75.5676329 45.43771949999999),45.43771949999999,-75.5676329,901352923
54,POINT (-75.90525035 45.33445604999999),45.33445604999999,-75.90525035,828856696
55,POINT (-75.8857455 45.31481899999999),45.31481899999999,-75.8857455,828881138
56,POINT (-75.8993126 45.3292815),45.3292815,-75.8993126,828895879
57,POINT (-75.88475015 45.31842435),45.31842435,-75.88475015,828929308
58,POINT (-75.88747590000001 45.3224678),45.3224678,-75.88747590000001,899837999
59,POINT (-75.89399630000001 45.32130489999999),45.32130489999999,-75.89399630000001,828984002
60,POINT (-75.9004085 45.31697549999999),45.31697549999999,-75.9004085,828994487
61,POINT (-75.7720392 45.32292765),45.32292765,-75.7720392,899975928
