intersection_cluster,geometry,lat,lon,nearest_node,lat_rounded,lon_rounded,accident_count
0,POINT (-75.642128175 45.432695975),45.432695975,-75.642128175,901150264,45.432696,-75.6421282,98
2,POINT (-75.6776488 45.4085659),45.4085659,-75.6776488,16266598,45.4085659,-75.6776488,61
4,POINT (-75.6784064 45.409794099999985),45.409794099999985,-75.6784064,21456938,45.4097941,-75.6784064,64
6,POINT (-75.7257577 45.388569099999984),45.388569099999984,-75.7257577,30725012,45.3885691,-75.7257577,132
10,POINT (-75.89871345 45.308859749999996),45.308859749999996,-75.89871345,4665647525,45.3088597,-75.8987134,42
13,POINT (-75.717741875 45.274265525000004),45.274265525000004,-75.717741875,2291989043,45.2742655,-75.7177419,92
21,POINT (-75.7488217 45.39431619999999),45.39431619999999,-75.7488217,252674649,45.3943162,-75.7488217,92
25,POINT (-75.6432015 45.3785754),45.3785754,-75.6432015,5721594278,45.3785754,-75.6432015,63
33,POINT (-75.5130018 45.47890559999999),45.47890559999999,-75.5130018,412655754,45.4789056,-75.5130018,49
39,POINT (-75.6788663 45.420527099999994),45.420527099999994,-75.6788663,476099844,45.4205271,-75.6788663,90
40,POINT (-75.6801762 45.422068999999986),45.422068999999986,-75.6801762,476099845,45.422069,-75.6801762,84
42,POINT (-75.6829123 45.425330899999985),45.425330899999985,-75.6829123,476099850,45.4253309,-75.6829123,168
43,POINT (-75.6847465 45.42454860000001),45.42454860000001,-75.6847465,476099852,45.4245486,-75.6847465,147
47,POINT (-75.6449411 45.37794399999999),45.37794399999999,-75.6449411,489851260,45.377944,-75.6449411,64
50,POINT (-75.6892401 45.416554099999985),45.416554099999985,-75.6892401,824642472,45.4165541,-75.6892401,119
52,POINT (-75.7089824 45.396983249999984),45.396983249999984,-75.7089824,901056837,45.3969832,-75.7089824,123
53,POINT (-75.70683110000002 45.396163699999995),45.396163699999995,-75.70683110000002,825268785,45.3961637,-75.7068311,108
69,POINT (-75.89569737500001 45.29351277499999),45.29351277499999,-75.89569737500001,1787958413,45.2935128,-75.8956974,206
79,POINT (-75.8754906 45.301810249999996),45.301810249999996,-75.8754906,899574947,45.3018102,-75.8754906,53
80,POINT (-75.8941278 45.29449249999999),45.29449249999999,-75.8941278,899576493,45.2944925,-75.8941278,206
81,POINT (-75.9177392 45.30973629999998),45.30973629999998,-75.9177392,1578945611,45.3097363,-75.9177392,99
92,POINT (-75.93144165 45.267455699999985),45.267455699999985,-75.93144165,899588057,45.2674557,-75.9314416,60
93,POINT (-75.900489 45.3099845),45.3099845,-75.900489,899588209,45.3099845,-75.900489,62
94,POINT (-75.9029629 45.3113956),45.3113956,-75.9029629,899593171,45.3113956,-75.9029629,90
96,POINT (-75.9016965 45.3106769),45.3106769,-75.9016965,899596359,45.3106769,-75.9016965,97
102,POINT (-75.93004339999999 45.26751384999999),45.26751384999999,-75.93004339999999,4674506972,45.2675138,-75.9300434,60
112,POINT (-75.8344148 45.323812999999994),45.323812999999994,-75.8344148,899859201,45.323813,-75.8344148,19
126,POINT (-75.791379 45.35228429999999),45.35228429999999,-75.791379,899957491,45.3522843,-75.791379,91
129,POINT (-75.8073792 45.352724299999984),45.352724299999984,-75.8073792,899961624,45.3527243,-75.8073792,107
130,POINT (-75.79123635 45.361838199999994),45.361838199999994,-75.79123635,899961841,45.3618382,-75.7912364,181
133,POINT (-75.7724777 45.373307399999995),45.373307399999995,-75.7724777,899964026,45.3733074,-75.7724777,32
134,POINT (-75.7540388 45.36947979999999),45.36947979999999,-75.7540388,899964435,45.3694798,-75.7540388,313
139,POINT (-75.7615731 45.340748699999985),45.340748699999985,-75.7615731,899970826,45.3407487,-75.7615731,28
145,POINT (-75.7727577 45.36912084999999),45.36912084999999,-75.7727577,899964096,45.3691208,-75.7727577,140
146,POINT (-75.7911009 45.3518072),45.3518072,-75.7911009,899983229,45.3518072,-75.7911009,89
147,POINT (-75.7534906 45.3684768),45.3684768,-75.7534906,899985157,45.3684768,-75.7534906,183
149,POINT (-75.7872084 45.34812429999999),45.34812429999999,-75.7872084,899970292,45.3481243,-75.7872084,159
150,POINT (-75.87480055 45.300565549999995),45.300565549999995,-75.87480055,899989259,45.3005655,-75.8748006,57
163,POINT (-75.7432079 45.382199499999984),45.382199499999984,-75.7432079,900984958,45.3821995,-75.7432079,143
164,POINT (-75.7374391 45.3800208),45.3800208,-75.7374391,900985189,45.3800208,-75.7374391,51
166,POINT (-75.7333462 45.38758429999999),45.38758429999999,-75.7333462,900990844,45.3875843,-75.7333462,167
167,POINT (-75.73332100000002 45.37865419999999),45.37865419999999,-75.73332100000002,900987565,45.3786542,-75.733321,100
168,POINT (-75.7384408 45.381625799999995),45.381625799999995,-75.7384408,900987992,45.3816258,-75.7384408,47
171,POINT (-75.7493231 45.37779789999998),45.37779789999998,-75.7493231,900989078,45.3777979,-75.7493231,141
172,POINT (-75.74317 45.38145899999999),45.38145899999999,-75.74317,900989958,45.381459,-75.74317,152
173,POINT (-75.7264921 45.38915360000001),45.38915360000001,-75.7264921,900993609,45.3891536,-75.7264921,137
178,POINT (-75.7531866 45.39112449999999),45.39112449999999,-75.7531866,901015749,45.3911245,-75.7531866,97
179,POINT (-75.7584829 45.38977719999999),45.38977719999999,-75.7584829,901016740,45.3897772,-75.7584829,54
180,POINT (-75.756913 45.39062989999999),45.39062989999999,-75.756913,901017308,45.3906299,-75.756913,70
183,POINT (-75.7562782 45.390085599999985),45.390085599999985,-75.7562782,901019221,45.3900856,-75.7562782,71
185,POINT (-75.753778 45.392137099999985),45.392137099999985,-75.753778,901019801,45.3921371,-75.753778,100
186,POINT (-75.7508866 45.39345659999999),45.39345659999999,-75.7508866,901021732,45.3934566,-75.7508866,87
187,POINT (-75.6968862 45.42224549999999),45.42224549999999,-75.6968862,901044760,45.4222455,-75.6968862,186
188,POINT (-75.6920736 45.40949229999998),45.40949229999998,-75.6920736,901044850,45.4094923,-75.6920736,386
189,POINT (-75.68842715 45.43189929999999),45.43189929999999,-75.68842715,901053247,45.4318993,-75.6884272,292
190,POINT (-75.6957999 45.41471809999999),45.41471809999999,-75.6957999,901045165,45.4147181,-75.6957999,134
191,POINT (-75.6887463 45.42748849999999),45.42748849999999,-75.6887463,901045173,45.4274885,-75.6887463,463
192,POINT (-75.7006849 45.4170315),45.4170315,-75.7006849,901045371,45.4170315,-75.7006849,157
194,POINT (-75.6944465 45.43276439999999),45.43276439999999,-75.6944465,901045677,45.4327644,-75.6944465,47
197,POINT (-75.6899572 45.426074799999995),45.426074799999995,-75.6899572,901047454,45.4260748,-75.6899572,418
198,POINT (-75.6956698 45.42357960000001),45.42357960000001,-75.6956698,901054683,45.4235796,-75.6956698,163
199,POINT (-75.7057522 45.4114673),45.4114673,-75.7057522,901046187,45.4114673,-75.7057522,144
200,POINT (-75.7012096 45.417655),45.417655,-75.7012096,901046209,45.417655,-75.7012096,194
201,POINT (-75.69433 45.4162123),45.4162123,-75.69433,901046235,45.4162123,-75.69433,200
203,POINT (-75.695498 45.41754419999999),45.41754419999999,-75.695498,901046330,45.4175442,-75.695498,156
204,POINT (-75.6945759 45.419574099999984),45.419574099999984,-75.6945759,901046399,45.4195741,-75.6945759,214
